original_name,original_code,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
Jachère Maïs - Dérogation SIE,,Maize fallow - SIE exemption,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
Jachère mellifère,,Honey fallow,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
jachère non herbacée,,non-herbaceous fallow,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
Cultures fruitières annuelles - Fraises,9516,Annual fruit crops - Strawberries,strawberries,3301130000,strawberries,3301130000
Fraisiers,9724,Strawberry plants,strawberries,3301130000,strawberries,3301130000
Concombre ,,Cucumber,cucumber_pickle,3301140100,cucumber_pickle,3301140100
Courges butternut,9456,Butternut squash,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
Courges butternut (consommation au frais),,Butternut squash (store in a cool place),pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
Courges butternut (transformation industrielle),,Butternut squash (industrial processing),pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
Courges butternut pour consommation en produit frais,,Butternut squash for fresh consumption,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
Courges butternut pour l’industrie,,Butternut squash for industry,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
Courgettes (consommation au frais),9541,Zucchini (consumption chilled),zucchini_courgette,3301140600,zucchini_courgette,3301140600
Courgettes (transformation industrielle),,Zucchinis (industrial processing),zucchini_courgette,3301140600,zucchini_courgette,3301140600
Courgettes pour consommation en produit frais,,Zucchinis for fresh consumption,zucchini_courgette,3301140600,zucchini_courgette,3301140600
Courgettes pour l’industrie,,Zucchinis for industry,zucchini_courgette,3301140600,zucchini_courgette,3301140600
Sarrasin,37,Buckwheat,buckwheat,3301150200,buckwheat,3301150200
Quinoa,382,Quinoa,quinoa,3301150300,quinoa,3301150300
Soja,43,Soy,soy_soybeans,3301160000,soy_soybeans,3301160000
Fenouil (de Florence),9534,Fennel (from Florence),fennel,3301170000,fennel,3301170000
Fenouil (de Florence)(consommation au frais),,Fennel (from Florence)(eat fresh),fennel,3301170000,fennel,3301170000
Asperge - industrie,8511,Asparagus - industry,asparagus,3301200000,aspargus,3301200000
Asperges (consommation au frais),9511,Asparagus (consumption chilled),asparagus,3301200000,aspargus,3301200000
Asperges fraïches,,Fresh asparagus,asparagus,3301200000,aspargus,3301200000
Asperges pour consommation en produit frais,,Asparagus for fresh consumption,asparagus,3301200000,aspargus,3301200000
FR-Asperges - vers,,Asparagus,asparagus,3301200000,aspargus,3301200000
Choux - Légumes,9548,Cabbage - Vegetables,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
Brocoli ,,Broccoli ,broccoli,3301210202,broccoli,3301210202
Brocoli (consommation au frais),,Broccoli (consumption in a cool place),broccoli,3301210202,broccoli,3301210202
Brocoli (transformation industrielle),,Broccoli (industrial processing),broccoli,3301210202,broccoli,3301210202
Brocoli pour consommation en produit frais,,Broccoli for fresh consumption,broccoli,3301210202,broccoli,3301210202
"Brousailles, ronces, ligneux bas, buissons sur parcelle non paturée",,"Undergrowth, brambles, low shrubs, bushes on ungrazed land",fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
Chou de Bruxelles,9512,Brussels sprouts,brussels_sprouts,3301210203,brussels_sprouts,3301210203
Chou de Bruxelles (consommation au frais),,Brussels sprouts (store in a cool place),brussels_sprouts,3301210203,brussels_sprouts,3301210203
Chou de Bruxelles (transformation industrielle),,Brussels sprouts (industrial processing),brussels_sprouts,3301210203,brussels_sprouts,3301210203
Chou de Bruxelles pour consommation en produit frais,,Brussels sprouts for fresh consumption,brussels_sprouts,3301210203,brussels_sprouts,3301210203
Chou de Bruxelles pour l’industrie,,Brussels sprouts for industry,brussels_sprouts,3301210203,brussels_sprouts,3301210203
Chou-fleur,9523,Cauliflower,cauliflower,3301210204,cauliflower,3301210204
Chou-fleur (consommation au choix),,Cauliflower (consumption as desired),cauliflower,3301210204,cauliflower,3301210204
Chou-fleur (transformation industrielle),,Cauliflower (industrial processing),cauliflower,3301210204,cauliflower,3301210204
Chou-fleur pour l’industrie,,Cauliflower for industry,cauliflower,3301210204,cauliflower,3301210204
Chou chinois,,Chinese cabbage,chinese_cabbage,3301210205,chinese_cabbage,3301210205
Chou chinois (transformation industrielle),,Chinese cabbage (industrial processing),chinese_cabbage,3301210205,chinese_cabbage,3301210205
Chou frisé,9524,Kale,kale,3301210208,kale,3301210208
Chou frisé (consommation au choix),,Kale (consumption as desired),kale,3301210208,kale,3301210208
Chou frisé (transformation industrielle),,Kale (industrial processing),kale,3301210208,kale,3301210208
Chou frisé pour l’industrie,,Kale for industry,kale,3301210208,kale,3301210208
Choux-rave,,Kohlrabi,kohlrabi,3301210209,kohlrabi,3301210209
Choux-rave (consommation au frais),,Kohlrabi (eat cool),kohlrabi,3301210209,kohlrabi,3301210209
Choux-rave pour l’industrie,,Kohlrabi for industry,kohlrabi,3301210209,kohlrabi,3301210209
Choux rouge,,Red cabbage,red_cabbage,3301210210,red_cabbage,3301210210
Choux rouge (consommation au frais),,Red cabbage (store in a cool place),red_cabbage,3301210210,red_cabbage,3301210210
Choux rouge (transformation industrielle),,Red cabbage (industrial processing),red_cabbage,3301210210,red_cabbage,3301210210
Choux rouge pour consommation en produit frais,,Red cabbage for fresh consumption,red_cabbage,3301210210,red_cabbage,3301210210
Chou de Milan,9546,Savoy cabbage,savoy_cabbage,3301210211,savoy_cabbage,3301210211
Chou de Milan (consommation au frais),,Savoy cabbage (store in a cool place),savoy_cabbage,3301210211,savoy_cabbage,3301210211
Chou de Milan pour l’industrie,,Savoy cabbage for industry,savoy_cabbage,3301210211,savoy_cabbage,3301210211
Chou blanc,9540,White cabbage,white_cabbage,3301210212,white_cabbage,3301210212
Chou blanc (consommation au frais),,White cabbage (store in a cool place),white_cabbage,3301210212,white_cabbage,3301210212
Chou blanc pour consommation en produit frais,,White cabbage for fresh consumption,white_cabbage,3301210212,white_cabbage,3301210212
Chou blanc pour l’industrie,,White cabbage for industry,white_cabbage,3301210212,white_cabbage,3301210212
Poireau,9538,Leek,leek,3301220300,leek,3301220300
Poireau (consommation au frais),,Leek (store in a cool place),leek,3301220300,leek,3301220300
Poireau (transformation industrielle),,Leek (industrial processing),leek,3301220300,leek,3301220300
Poireau pour consommation en produit frais,,Leek for fresh consumption,leek,3301220300,leek,3301220300
Poireau pour l’industrie,,Leeks for industry,leek,3301220300,leek,3301220300
Oignons (hâtifs),9563,Onions (early),onions,3301220400,onions,3301220400
Oignons (hâtifs) (consommation au frais),,Onions (early) (store in a cool place),onions,3301220400,onions,3301220400
Oignons (hâtifs) (transformation industrielle),,Onions (early) (industrial processing),onions,3301220400,onions,3301220400
Oignons (hâtifs) pour consommation en produit frais,,Onions (early) for fresh consumption,onions,3301220400,onions,3301220400
Oignons (hâtifs) pour l’industrie,,Onions (early) for industry,onions,3301220400,onions,3301220400
Oignons (non-hâtifs),9514,Onions (non-early),onions,3301220400,onions,3301220400
Oignons (non-hâtifs) (consommation au frais),,Onions (non-early) (store in a cool place),onions,3301220400,onions,3301220400
Oignons (non-hâtifs) (transformation industrielle),,Onions (non-early) (industrial processing),onions,3301220400,onions,3301220400
Oignons (non-hâtifs) pour consommation en produit frais,,Onions (non-early) for fresh consumption,onions,3301220400,onions,3301220400
Oignons (non-hâtifs) pour l’industrie,,Onions (non-early) for industry,onions,3301220400,onions,3301220400
Echalotes,9513,Shallots,shallot,3301220600,shallot,3301220600
Echalotes (consommation au frais),,Shallots (store in a cool place),shallot,3301220600,shallot,3301220600
Echalotes pour consommation en produit frais,,Shallots for fresh consumption,shallot,3301220600,shallot,3301220600
FR-Rabarber - vers,,Rhubarb,rhubarb,3301230000,rhubarb,3301230000
Rhubarbe (consommation au frais),9517,Rhubarb (consumption chilled),rhubarb,3301230000,rhubarb,3301230000
Rhubarbe (transformation industrielle),,Rhubarb (industrial processing),rhubarb,3301230000,rhubarb,3301230000
Rhubarbe fraîche,,Fresh rhubarb,rhubarb,3301230000,rhubarb,3301230000
Rhubarbe pour consommation en produit frais,,Rhubarb for fresh consumption,rhubarb,3301230000,rhubarb,3301230000
Rhubarbe pour l’industrie,,Rhubarb for industry,rhubarb,3301230000,rhubarb,3301230000
Rhubarbe- industrie,8517,Rhubarb- industry,rhubarb,3301230000,rhubarb,3301230000
Céleri à côtes pour l’industrie,,Ribbed celery for industry,celery,3301250000,celery,3301250000
Céleri vert,,Green celery,celery,3301250000,celery,3301250000
Céleri vert (transformation industrielle),,Green celery (industrial processing),celery,3301250000,celery,3301250000
Céleri vert pour l’industrie,,Green celery for industry,celery,3301250000,celery,3301250000
Céleri-branche,9551,Celery branch,celery,3301250000,celery,3301250000
Céleri-branche (consommation au frais),,Celery stalks (to be eaten chilled),celery,3301250000,celery,3301250000
Céleri-branche (transformation industrielle),,Celery (industrial processing),celery,3301250000,celery,3301250000
Céleri-branche pour consommation en produit frais,,Celery stalks for fresh consumption,celery,3301250000,celery,3301250000
Céleri-rave,9543,Celeriac,celeriac,3301250100,celeriac,3301250100
Céleri-rave (consommation au frais),,Celeriac (eaten chilled),celeriac,3301250100,celeriac,3301250100
Céleri-rave (transformation industrielle),,Celeriac (industrial processing),celeriac,3301250100,celeriac,3301250100
Céleri-rave pour consommation en produit frais,,Celery root for fresh consumption,celeriac,3301250100,celeriac,3301250100
Céleri-rave pour l’industrie,,Celeriac for industry,celeriac,3301250100,celeriac,3301250100
Tomates ,,Tomatoes ,tomato,3301280000,tomato,3301280000
Tomates (consommation au frais),,Tomatoes (store in a cool place),tomato,3301280000,tomato,3301280000
Tomates pour consommation en produit frais,,Tomatoes for fresh consumption,tomato,3301280000,tomato,3301280000
Carotte,,Carrot,carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (hâtive),9564,Carrot (early),carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (hâtive) pour consommation en produit frais,,Carrot (early) for fresh consumption,carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (hâtive) pour l’industrie,,Carrot (early) for industry,carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (hâtive)(consommation) (consommation au frais),,Carrot (early) (consumption) (consumption in a cool place),carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (hâtive)(consommation) (transformation industrielle),,Carrot (early) (consumption) (industrial processing),carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (non hâtive),9535,Carrot (not early),carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (non hâtive) pour consommation en produit frais,,Carrot (not early) for fresh consumption,carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (non hâtive) pour l’industrie,,Carrot (not early) for industry,carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (non hâtive)(consommation) (consommation au frais),,Carrot (not early) (consumption) (consumption in a cool place),carrots_daucus,3301290300,carrots_daucus,3301290300
Carotte (non hâtive)(consommation) (transformation industrielle),8535,Carrot (non-early)(consumption) (industrial processing),carrots_daucus,3301290300,carrots_daucus,3301290300
Carottes fourragères,742,Foraged carrots,carrots_daucus,3301290300,carrots_daucus,3301290300
Betterave fourragère,71,Fodder beet,mangelwurzel_fodder_beet,3301290400,mangelwurzel_fodder_beet,3301290400
Betterave sucrière,91,Sugar beet,sugar_beet,3301290700,sugar_beet,3301290700
Navette ,,Turnip,turnips,3301290800,turnips,3301290800
Navette d'?hiver (graines),,Winter turnip (seeds),turnips,3301290800,turnips,3301290800
Navette d'hiver (graines),,Winter turnip (seeds),turnips,3301290800,turnips,3301290800
Navette d’hiver (graines),,Winter turnip (seeds),turnips,3301290800,turnips,3301290800
Navette de printemps (graines),,Spring turnip (seeds),turnips,3301290800,turnips,3301290800
Laitues pommées,9518,Butterhead lettuce ,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
Laitues pommées (consommation au frais) ,,Butterhead lettuce  (store in a cool place) ,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
Laitues pommées pour consommation en produit frais ,,Butterhead lettuce for fresh consumption ,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
Laitues pommées pour l’industrie ,,Butterhead lettuce for industry,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
Chicorée à café,9812,Coffee chicory,chicory_chicories,3301310200,chicory_chicories,3301310200
Chicorée à inuline,9811,Chicory with inulin,chicory_chicories,3301310200,chicory_chicories,3301310200
Endives (chicons),9515,Endives (chicons),chicory_chicories,3301310200,chicory_chicories,3301310200
Endives de Bruxelles (pour la racine) (transformation industrielle),,Belgian endive (root) (industrial processing),endive,3301310300,endive,3301310300
Endives de Bruxelles (pour la racine) pour l’industrie,,Belgian endive (root) (industrial processing),endive,3301310300,endive,3301310300
Scaroles (consommation au frais),9537,Scaroles (consumption chilled),endive,3301310300,endive,3301310300
Epinards,9519,Spinach,spinach,3301310800,spinach,3301310800
Epinards (consommation au frais),,Spinach (store in a cool place),spinach,3301310800,spinach,3301310800
Epinards (transformation industrielle),,Spinach (industrial processing),spinach,3301310800,spinach,3301310800
Epinards pour consommation en produit frais,,Spinach for fresh consumption,spinach,3301310800,spinach,3301310800
Epinards pour l’industrie,,Spinach for industry,spinach,3301310800,spinach,3301310800
Autres mélanges (avec moins de 50 % de graminées) que ceux déjà listés *,,Other mixtures (with less than 50% grasses) than those already listed*.,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Mélange de graminées et de légumineuses (autre que le mélange graminées/trèfle),,Mixture of grasses and legumes (other than grass/clover),pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Prairie et fourrage,6,Meadow and fodder,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Prairies,,Meadows,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Cultures fruitière pluriannuelles-basses tiges,,Multi-annual low-stem fruit crops,orchards_fruits,3303010000,orchards_fruits,3303010000
Cultures fruitière pluriannuelles-hautes tiges,,Multi-annual high-stem fruit crops,orchards_fruits,3303010000,orchards_fruits,3303010000
cultures fruitières pluriannuelles (pommes) - basses tiges,9710,multi-annual fruit crops (apples) - low stems,apples,3303010200,apples,3303010200
cultures fruitières pluriannuelles (pommes) -hautes tiges,9730,multi-year fruit crops (apples) - high stems,apples,3303010200,apples,3303010200
cultures fruitières pluriannuelles (cerises) - basses tiges,9725,multi-annual fruit crops (cherries) - low stems,cherry_cherries,3303010400,cherry_cherries,3303010400
cultures fruitières pluriannuelles (cerises) -hautes tiges,9726,multi-annual fruit crops (cherries) - tall stems,cherry_cherries,3303010400,cherry_cherries,3303010400
cultures fruitières pluriannuelles (poires) - basses tiges,9711,multi-annual fruit crops (pears) - low stems,pears,3303011200,pears,3303011200
cultures fruitières pluriannuelles (poires) - hautes tiges,9731,multi-annual fruit crops (pears) - tall stems,pears,3303011200,pears,3303011200
cultures fruitières pluriannuelles (prunes) - basses tiges,9713,multi-annual fruit crops (plums) - low stems,plums,3303011300,plums,3303011300
cultures fruitières pluriannuelles (prunes) - hautes tiges,,multi-annual fruit crops (plums) - tall stalks,plums,3303011300,plums,3303011300
Cultures fruitières annuelles - Framboises,9717,Annual fruit crops - Raspberries,raspberry_raspberries,3303021000,raspberry_raspberries,3303021000
Noisetier,9201,Hazel,hazelnuts_hazel,3303030200,hazelnuts_hazel,3303030200
Noyer,9202,Walnut,walnuts,3303030600,walnuts,3303030600
Vignes,9716,Vines,vineyards_wine_vine_rebland_grapes,3303060000,vineyards_wine_vine_rebland_grapes,3303060000
Pépinières de plants fruitiers ou de plantes ornementales,,Fruit and ornamental plant nurseries,nurseries_nursery,3303070000,nurseries_nursery,3303070000
Champignons,,Mushrooms,other_mushrooms_energy_crops_genetically_modified_crops,3304990000,other_mushrooms_energy_crops_genetically_modified_crops,3304990000
Autres cultures de légumes sous serre,,Other greenhouse vegetable crops,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
