original_code,original_name,translated_name,HCAT3_name,HCAT3_code
461,Směs pro opylovače (čejka),Mixture for pollinators,not_known_and_other,3399000000
463,Dočasně nezpůsobilá plocha,Temporarily ineligible area,not_known_and_other,3399000000
464,Orná bez plodiny,Arable without a crop,unmaintained,3308000000
465,Špenát jarní,Spring spinach,spinach,3301310800
466,Tykev pomíchaná,Mixed pumpkin,pumpkin_squash_gourd,3301140400
468,Vojtěškotravní směs (s převahou jetelovin),Alfalfa mixture (predominantly clovers),clover,3301090303
469,Ostatní směsky,Other mixes,not_known_and_other,3399000000
470,Tykev muškátová,Crookneck pumpkin,pumpkin_squash_gourd,3301140400
471,Trávy pro ochranné pásy,Grasses for protective strips,pasture_meadow_grassland_grass,3302000000
473,Směs pro souvrať,Headland mix,not_known_and_other,3399000000
474,Směs pro meziplodiny,Mixture for catch crops,not_known_and_other,3399000000
522,Směs pro erozní pás,Mixture for erosion belt,not_known_and_other,3399000000
524,Batáty,Sweet potatoes,sweet_potatoes,3301040000
527,Dobromysl obecná,Oregano,oregano,3301061226
529,Hrachor,Lathyrus,peas,3301020600
530,Chmel sadba,Hops seedling,hops,3301060200
532,Kopřiva dvoudomá,Stinging nettle,nettles,3301061225
533,Roketa setá (rukola),"Rocket, Rucola",rocket_arugula,3301310600
535,Merlík čilský,Quinoa ,quinoa,3301150300
536,Mák setý ozimý,Poppy sown winter,winter_poppy,3301060601
537,Směs trav čeledi lipnicovité,A mixture of grasses of the poaceae family,poaceae_grasses,3301090200
538,Oves hřebílkatý,lopsided oat,unspecified_season_oats,3301010599
539,Kostřava vláskovitá,hair fescue,festuca_fescue,3301090202
540,Kostřava drsnolistá,hard fescue,festuca_fescue,3301090202
541,Jestřabina východní,eastern galega,galega,3301081900
542,Jetel alexandrijský,Berseem clover,clover,3301090303
543,Bob polní,Field Bean,beans,3301020100
545,Sveřep sitecký,Bromus grass,poaceae_grasses,3301090200
546,Sveřep americký,rescuegrass,poaceae_grasses,3301090200
547,Hořčice černá,Black mustard,mustard,3301210100
548,Vojtěška proměnlivá,Hybrid Alfafa,alfalfa_lucerne,3301090301
550,Mák setý jarní,Poppy sown in spring,summer_poppy,3301060602
551,Brambory konzumní rané (sklizeň do 30.6.),Potatoes for consumption early (harvest until 30.6.),potatoes,3301030000
552,Brambory konzumní pozdní,Late Potatoes,potatoes,3301030000
554,Pšenice jednozrnka,Einkorn wheat,unspecified_season_einkorn,3301011399
555,Špenát ozimý,Winter spinach,spinach,3301310800
556,Citronová tráva,Lemon grass,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
557,Chrpa modrá,Cornflower blue,cornflowers,3301081000
559,Kapusta hlávková ozimá,winter savoy cabbage,savoy_cabbage,3301210211
560,Kmín kořenný jarní,spring Caraway,caraway,3301061211
561,Máta huňatá,Bushy mint,mints_peppermint,3301061222
562,Máta jemná,Mild mint,mints_peppermint,3301061222
564,Máta klasnatá,Spearmint,mints_peppermint,3301061222
565,Máta okrouhlolistá,Round-leaf mint,mints_peppermint,3301061222
567,Pór ozimý,Winter leek,leek,3301220300
571,Rozmarýn lékařský,Rosemary,rosemary,3301061230
577,Směs zlepšujících netržních plodin (jinde neuvedených),Mixture of improved non-market crops (not elsewhere specified),not_known_and_other,3399000000
582,Šťovík kyselý - krmný OK2,Common Sorrel,sorrel,3301310700
587,Třapatka nachová (Terčovka nachová),purple coneflower,rudbeckia_coneflowers,3301083800
588,Třezalka skvrnitá,spotted St. Johnswort,st_johns_wort,3301061234
590,Žito energetické,rye for biogas,unspecified_season_rye,3301010399
591,Ředkev setá černá,Black Spanish radish ,radish,3301290600
592,Čičorka,crownvetch,vetches,3301090305
593,Pelyněk pontický,Roman wormwood,artemisia,3301061206
20002,Topol Maximovičův a jeho kříženci,Populus maximowiczii Henry,populus,3306070000
20004,Topol chlupatoplodý a jeho kříženci,Populus trichocarpa,populus,3306070000
20005,Topol vznešený a jeho kříženci,Populus ×generosa,populus,3306070000
20007,Topol kanadský,Populus × canadensis,populus,3306070000
20008,Topol Simonův a jeho kříženci,Populus simonii,populus,3306070000
20010,Topol balzámový a jeho kříženci,Populus balsamifera,populus,3306070000
20011,Topol černý,Populus nigra,populus,3306070000
20012,Topol osika,Populus tremula,aspen,3306020000
20013,Vrba bílá a její kříženci,White willow and its hybrids,willows_osiers,3306080000
20014,Vrba jíva a její kříženci,goat willow and its hybrids,willows_osiers,3306080000
20015,Vrba košíkářská a její kříženci,basket willow and its hybrids,willows_osiers,3306080000
20017,Jasan ztepilý,European Ash,other_tree_wood_forest,3306990000
20018,Olše lepkavá,European alder,other_tree_wood_forest,3306990000
40005,Konopí - Bialobrzeskie ,Hemp,hemp_cannabis,3301061000
40019,Konopí - Fedora 17  ,Hemp,hemp_cannabis,3301061000
40020,Konopí - Felina 32,Hemp,hemp_cannabis,3301061000
40026,Konopí - Finola  ,Hemp,hemp_cannabis,3301061000
40027,Konopí - Futura 75  ,Hemp,hemp_cannabis,3301061000
40040,Konopí - Santhica 27  ,Hemp,hemp_cannabis,3301061000
40041,Konopí - Santhica 70 ,Hemp,hemp_cannabis,3301061000
40045,Konopí - Tiborszállási,Hemp,hemp_cannabis,3301061000
40047,Konopí - Tygra  ,Hemp,hemp_cannabis,3301061000
40049,Konopí - Uso-31  ,Hemp,hemp_cannabis,3301061000
40280,Konopí - Eletta Campana,Hemp,hemp_cannabis,3301061000
40282,Konopí - Fibror 79,Hemp,hemp_cannabis,3301061000
40299,Konopí - Henola,Hemp,hemp_cannabis,3301061000
40326,Konopí - Futura 83,Hemp,hemp_cannabis,3301061000
50015,Směs pro meziplodiny pro zlepšení struktury půdy,Mixture for catch crops to improve soil structure,not_known_and_other,3399000000
50017,Jetelotravní směs (s převahou travin),Clover-grass mix (grass-dominated),pasture_meadow_grassland_grass,3302000000
50018,Směs pro druhově bohaté pokrytí orné půdy ,Mixture for species-rich arable land coverage ,not_known_and_other,3399000000
50019,Oves nahý ozimý,Naked winter oats,winter_oats,3301010501
50020,Oves pluchatý ozimý,Fluffy winter oats,winter_oats,3301010501
50021,Pšenice špalda jarní,Spring Spelt,spring_spelt,3301011002
50024,Směs pro úhor s porostem,Mixture of Fallow and growth,fallow_land_not_crop,3301110000
50025,Křen selský jednoletý,Annual horseradish,horseradish,3301210400
50026,Směs bílkovinných plodin (PVN) jednoletých,A mixture of annual protein crops (PVN).,legumes_dried_pulses_protein_crops,3301020000
50027,Směs bílkovinných plodin (PVN) jednoletých s ostatními plodinami do 50 %,Mixture of annual protein crops (PVN) with other crops up to 50%,legumes_dried_pulses_protein_crops,3301020000
50028,Směs bílkovinných plodin (PVN) víceletých,Mixture of protein crops (PVN) of perennials,legumes_dried_pulses_protein_crops,3301020000
50029,Směs bílkovinných plodin (PVN) víceletých s jednoletými plodinami do 50 %,Mixture of protein crops (PVN) perennial with annual crops up to 50%,legumes_dried_pulses_protein_crops,3301020000
50030,Luskoobilní směs s podsevem PVN,Legume mix with PVN undersowing,legumes_dried_pulses_protein_crops,3301020000
50031,Směs PVN neprodukčních jednoletých,VAT mixture of non-producing annuals,not_known_and_other,3399000000
50032,Směs PVN neprodukčních jednoletých s ost. plodinami do 50 %,A mixture of PVN non-productive annuals with other crops up to 50%,not_known_and_other,3399000000
50033,Směs PVN neprodukčních víceletých,VAT mixture of non-productive perennials,not_known_and_other,3399000000
50034,Směs PVN neprodukčních víceletých s ost. plodinami do 50 %,A mixture of PVN non-productive perennials with other crops up to 50%,not_known_and_other,3399000000
50035,Směs trav s PVN do 50 %,A mixture of grasses with PVN up to 50%,pasture_meadow_grassland_grass,3302000000
50036,Vojtěškotravní směs (s převahou travin),Alfalfa grass mixture (with a predominance of grasses),pasture_meadow_grassland_grass,3302000000
50037,Směs pro nektarodárný úhor (ekoplatba),Mixture for nectar fallow ,not_known_and_other,3399000000
50038,Směs trav s nízkovzrůstající PVN do 10 %,A mixture of grasses with low-growing PVN up to 10%,fallow_land_not_crop,3301110000
50040,Svazenka shloučená,Blue Curls,other_flowers_ornamental_plants,3301089900
50041,Sadební materiál lesních dřevin,Forest planting material,unspecified_tree_wood_forest,3306980000
50043,Směs pro souvrať (prémiová),Headland Mix (Premium),not_known_and_other,3399000000
50044,Směs pro erozní pás (prémiová),Mixture for erosion belt (premium),not_known_and_other,3399000000
50045,Směs pro dělící pás ,Mixture for dividing strip ,not_known_and_other,3399000000
50047,Směs pro ozeleněný kolejový řádek (prémiová),Greening Lane Mix (Premium),not_known_and_other,3399000000
50052,Úhor pro staré ekologické zemědělství,Fallow for old organic farming,fallow_land_not_crop,3301110000
