original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
kurdlehine kibuvits,Kurdish rose,roses,3301083700,roses,3301083700
"kurgirohi, harilik",Borage,borage,3301061209,borage,3301061209
kurk,cucumber,cucumber_pickle,3301140100,cucumber_pickle,3301140100
kuumaasikad avamaal või madala katte all,strawberries in the open or under low cover,strawberries,3301130000,strawberries,3301130000
küüslauk,garlic,garlic,3301220200,garlic,3301220200
lääts,lentil,lentils,3301020500,lentils,3301020500
"lavendel, tähk-",lavender star,lavender_lavandula,3301061219,lavender_lavandula,3301061219
lehtkapsas,kale,kale,3301210208,kale,3301210208
lehtsalat,lettuce,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
liblikõieliste ja kõrreliste segu (30-80% liblikõielisi),mixture of legumes and grasses (30-80% legumes),legumes_harvested_green,3301090300,legumes_harvested_green,3301090300
liblikõieliste ja muude põllumajanduskultuuride segu (30-80% liblikõielisi),Mix of legumes and other crops (30-80% legumes),legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
"liivsinep, võõr-",mustard foreign,mustard,3301210100,mustard,3301210100
lilled ja ehistaimed (dekoratiivtaimed) avamaal või madala katte all,flowers and ornamental plants (ornamental plants) in the open or under low cover,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
lillkapsas,Cauliflower,cauliflower,3301210204,cauliflower,3301210204
maapirn,Jerusalem artichoke,topinambur_jerusalem_artichoke,3301180000,topinambur_jerusalem_artichoke,3301180000
"maarjaohakas, harilik",Milk thistle,marian_thistles,3301061300,marian_thistles,3301061300
mädarõigas,horseradish,horseradish,3301210400,horseradish,3301210400
magus kirsipuu,sweet cherry tree,cherry_cherries,3303010400,cherry_cherries,3303010400
mais,Grain maize,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
melon,melon,melon,3301140300,melon,3301140300
mesiputk,Sweet Cicely,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,leaf_celery,3301250200
minimais,Baby corn,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
"münt, ümaraleheline",mint round leaf,mints_peppermint,3301061222,mints_peppermint,3301061222
must sõstar,black currant,blackcurrant_cassis,3303020300,blackcurrant_cassis,3303020300
mustikas,blueberry,blueberry,3303020400,blueberry,3303020400
mustkesa,Fallow land (bare land),fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
mustrõigas,patterned radish,radish,3301290600,radish,3301290600
muu heintaimede segu,Other mix of grasses,poaceae_grasses,3301090200,pasture_meadow_grassland_grass,3302000000
muu kapsas,Other cabbage,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
muu kaunvili,other pulses,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
muu köögivili,other vegetables,fresh_vegetables,3301070000,fresh_vegetables,3301070000
muu ravim- ja maitsetaim,Other medicinal and culinary plant,unspecified_aromatic_medicinal_culinary_plants_spices_herbs,3301061298,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
muu rühvelkultuur,Other cultures,other_arable_land_crops,3301990000,other_industrial_crops,3301069900
muu tehniline kultuur,other technical culture,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
"muu teravili allakülviga, v.a liblikõieliste allakülviga",other cereals sown with the exception of legumes,unspecified_cereals,3301011500,other_cereals,3301019900
muu teravili allakülvita,Other cereals,unspecified_cereals,3301011500,other_cereals,3301019900
muu teravili liblikõieliste allakülviga,Other cereals with legumes,unspecified_cereals,3301011500,other_cereals,3301019900
"muud liblikõielised (vähemalt 80% liblikõielisi, kuni 20% heintaimi)",other legumes (at least 80% legumes up to 20% grasses),unspecified_legumes_harvested_green,3301090398,legumes_dried_pulses_protein_crops,3301020000
muud marjapõõsad,Other berries,berries_berry_species,3303020000,berries_berry_species,3303020000
muud viljapuud,other fruits,orchards_fruits,3303010000,orchards_fruits,3303010000
"N siduv heint. ja kõrreliste segu (N siduvaid heintaimi üle 50%, kõrrelisi heintaimi alla 50%)",Mix of nitrogen-binding grasses and graminoids (over 50% nitrogen-binding grasses less than 50% graminoid grasses),legumes_harvested_green,3301090300,pasture_meadow_grassland_grass,3302000000
"N siduv heint. ja muu põllumaj. kult. segu (N siduvaid heint. üle 50%, muid kultuure alla 50%)",Mix of nitrogen-binding grasses and other crops (over 50% nitrogen-binding grasses less than 50% other crops).,legumes_harvested_green,3301090300,pasture_meadow_grassland_grass,3302000000
"N siduv heint. ja N siduv põllumaj. kult. segu (N siduvaid kult. üle 50%, segus valdavalt heint.)",Mix of nitrogen-binding grasses and nitrogen-binding crops(over 50% nitrogen-binding crops mix contains mainly grasses),legumes_harvested_green,3301090300,pasture_meadow_grassland_grass,3302000000
"N siduv heint. segu (N siduvaid heintaimi üle 50%, teisi liblikõielisi heintaimi alla 50%)",Mix of nitrogen-binding grasses (over 50% nitrogen-binding grasses less than 50% other leguminous grasses),legumes_harvested_green,3301090300,pasture_meadow_grassland_grass,3302000000
N siduvate kaunviljade segu (N siduvaid kaunvilju segus üle 50%),Mix of nitrogen-binding pulses (pulses over 50%),legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
naeris,turnip,turnips,3301290800,turnips,3301290800
"naistenõges, harilik",catnip,catnip,3301061212,catnip,3301061212
"naistepuna, liht-",Perforate St Johns-wort,st_johns_wort,3301061234,st_johns_wort,3301061234
nuikapsas (koolrabi),kohlrabi,kohlrabi,3301210209,kale,3301210208
õlilina,Linseed (oil flax),flax_linseed_oil,3301060702,flax_linseed_oil,3301060702
õlirõigas,Oil radish,radish,3301290600,radish,3301290600
orashein,Elymus grass,poaceae_grasses,3301090200,lolium_ryegrass,3301090205
õunapuu,apple tree,apples,3303010200,apples,3303010200
päevalill,Sunflower,sunflower,3301060500,sunflower,3301060500
paju,willow,willows_osiers,3306080000,willows_osiers,3306080000
paprika,paprika,bell_pepper_paprika,3301300100,bell_pepper_paprika,3301300100
pastinaak,parsnips,parsnips,3301290500,parsnips,3301290500
piparmünt,peppermint,mints_peppermint,3301061222,mints_peppermint,3301061222
pirnipuu,pear tree,pears,3303011200,pears,3303011200
ploomipuu,European plum,plums,3303011300,plums,3303011300
põld-hiirehernes (talivikk),Hairy vetch (winter),vetches,3301090305,peas,3301020600
"põldhernes ""Mehis"" (100% põldhernest ""Mehis"")","field pea ""Mehis"" (100% field pea ""Mehis"")",peas,3301020600,peas,3301020600
"põldhernes ""Mehis"" tugikultuuriga (kuni 70% põldhernes ""Mehis"")","field pea ""Mehis"" ""support for culture (up to 70% field pea"" ""Mehis"" "")""",peas,3301020600,peas,3301020600
"põldhernes ""Mehis"" tugikultuuriga (vähemalt 70% põldhernes ""Mehis"")","Field pea ""Mehis"" (at least 70%) with support crop",peas,3301020600,peas,3301020600
"põldhernes, v.a ""Mehis"" (100% põldhernest)",Field pea (100%),peas,3301020600,peas,3301020600
"põldhernes, v.a ""Mehis"" tugikultuuriga (vähemalt 70% põldhernest)",Field pea (at least 70%) with support crop,peas,3301020600,peas,3301020600
"põlduba ""Jõgeva""","field bean ""Jõgeva"" """"",beans,3301020100,beans,3301020100
"põlduba, v.a ""Jõgeva""","Broad bean (excl. """"Jgeva"""") ",beans,3301020100,beans,3301020100
poolsuhkrupeet,Semi-sugar beet,sugar_beet,3301290700,sugar_beet,3301290700
porgand,carrots,carrots_daucus,3301290300,carrots_daucus,3301290300
porrulauk,Leek,leek,3301220300,leek,3301220300
punane ristik (100% ristikut),red clover (100% clover),clover,3301090303,clover,3301090303
"punane ristik (ristikut 50-80%, teisi heintaimi 20-50%)",red clover (clover 50-80% other grasses 20-50%),clover,3301090303,clover,3301090303
"punane ristik (vähemalt 80% ristikut, kuni 20% heintaimi)",Red clover (at least 80% clover up to 20% grasses),clover,3301090303,clover,3301090303
punane sõstar,redcurrant,redcurrant,3303021100,redcurrant,3303021100
punapeet (söögipeet),beetroot (beetroot),beetroot_beets,3301290200,beetroot_beets,3301290200
"pune, harilik",oregano,oregano,3301061226,oregano,3301061226
puukoolid,nurseries,nurseries_nursery,3303070000,nurseries_nursery,3303070000
rabarber,rhubarb,rhubarb,3301230000,rhubarb,3301230000
"raudrohi, harilik",yarrow,yarrow,3301061239,yarrow,3301061239
ravim- ja maitsetaimed väikestel pindadel,Medicinal and culinary plants grown in small area,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
ravim- ja maitsetaimede segu muude põllumajanduskultuuridega,Medicinal and culinary plants mixed with other crops,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
redis,radish,radish,3301290600,radish,3301290600
rohttaimed,grasses,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
roosa ristik (100% ristikut),Alsike clover (100%),clover,3301090303,clover,3301090303
"roosa ristik (ristikut 50-80%, teisi heintaimi 20-50%)",Alsike clover (clover 50-80% other grasses 20-50%),clover,3301090303,clover,3301090303
"roosa ristik (vähemalt 80% ristikut, kuni 20% heintaimi)",Alsike clover (at least 80% clover up to 20% grasses),clover,3301090303,clover,3301090303
"rukis, v.a sangaste rukis, allakülviga, v.a liblikõieliste allakülviga",Rye undersown (excl. legumes),rye,3301010300,rye,3301010300
"rukis, v.a sangaste rukis, allakülvita",Rye,rye,3301010300,rye,3301010300
"rukis, v.a sangaste rukis, liblikõieliste allakülviga",Rye undersown with legumes,rye,3301010300,rye,3301010300
rukkilill,Cornflower,cornflowers,3301081000,cornflowers,3301081000
"saialill, harilik",English marigold,calendula_marigold,3301061210,calendula_marigold,3301061210
"Sangaste rukis allakülviga, v.a liblikõielise allakülviga",Rye of Sangaste with sowing except for sowing of legumes,rye,3301010300,rye,3301010300
Sangaste rukis allakülvita,Sangaste rye,rye,3301010300,rye,3301010300
Sangaste rukis liblikõieliste allakülviga,"Rye """"Sangaste"""" undersown with legumes",rye,3301010300,rye,3301010300
segavili/segatis,Cereal mixture,cereal,3301010000,unspecified_cereals,3301011500
segavili/segatis N siduvate kaunviljadega (N siduvaid kaunvilju segus üle 50%),Cereal mixture with nitrogen-binding pulses (pulses over 50%),legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
sidrunmeliss,lemon balm,lemon_balm_melissa,3301061220,lemon_balm_melissa,3301061220
"sigur, harilik",chicory,chicory_chicories,3301310200,chicory_chicories,3301310200
söödakapsas,fodder cabbage,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
söödapeet,fodder beet,mangelwurzel_fodder_beet,3301290400,mangelwurzel_fodder_beet,3301290400
söödav kuslapuu,honeysuckle,honeysuckle,3303080500,honeysuckle,3303080500
sööti jäetud maa,Fallow land,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
sorgo,sorghum,millet_sorghum,3301010900,millet_sorghum,3301010900
spargel,asparagus,asparagus,3301200000,aspargus,3301200000
spargelkapsas (brokkoli),Broccoli,broccoli,3301210202,broccoli,3301210202
"speltanisu allakülviga, v.a liblikõieliste allakülviga",Spelt with the exception of legumes,spelt,3301011000,spelt,3301011000
speltanisu allakülvita,Spelt,spelt,3301011000,spelt,3301011000
speltanisu liblikõieliste allakülviga,Spelt with legumes,spelt,3301011000,spelt,3301011000
suhkrumais,sweet corn,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
"suvinisu allakülviga, v.a liblikõieliste allakülviga",Summer wheat undersown (excl. legumes),spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
suvinisu allakülvita,Summer wheat,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
suvinisu liblikõieliste allakülviga,Summer wheat undersown with legumes,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
"suvioder allakülviga, v.a liblikõieliste allakülviga",Summer barley undersown (excl. legumes),spring_barley,3301010402,spring_barley,3301010402
suvioder allakülvita,Summer barley,spring_barley,3301010402,spring_barley,3301010402
suvioder liblikõieliste allakülviga,Summer barley undersown with legumes,spring_barley,3301010402,spring_barley,3301010402
"suviraps allakülviga, v.a liblikõieliste allakülviga",Summer oilseed rape with the exception of leguminous crops,summer_rapeseed_rape,3301060403,summer_rapeseed_rape,3301060403
suviraps allakülvita,Summer oilseed rape,summer_rapeseed_rape,3301060403,spring_rapeseed_rape,3301060402
suviraps liblikõielise allakülviga,Summer rape with leguminous sowing,summer_rapeseed_rape,3301060403,summer_rapeseed_rape,3301060403
suvirüps allakülvita,Summer rape,summer_rapeseed_rape,3301060403,spring_rapeseed_rape,3301060402
suvirüps liblikõieliste allakülviga,Summer rape undersown with legumes,summer_rapeseed_rape,3301060403,turnips,3301290800
suvitritikale allakülvita,Summer triticale,spring_triticale,3301010802,spring_triticale,3301010802
suvitritikale liblikõieliste allakülviga,Summer triticale with sown legumes,spring_triticale,3301010802,legumes_dried_pulses_protein_crops,3301020000
suvivikk,Common vetch Summer,vetches,3301090305,vetches,3301090305
"talinisu allakülviga, v.a liblikõieliste allakülviga",Winter wheat undersown (excl. legumes),winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
talinisu allakülvita,Winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
talinisu liblikõieliste allakülviga,Winter wheat undersown with legumes,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
talioder allakülvita,Winter barley,winter_barley,3301010401,winter_barley,3301010401
talioder liblikõieliste allakülviga,winter barley with leguminous sowing,winter_barley,3301010401,winter_barley,3301010401
"taliraps allakülviga, v.a liblikõieliste allakülviga",winter oilseed rape with the exception of legumes,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
taliraps allakülvita,Winter oilseed rape,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
taliraps liblikõieliste allakülviga,winter oilseed rape with legumes,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
"talirüps allakülviga, v.a liblikõieliste allakülviga",winter rape with sowing other than leguminous sowing,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
talirüps allakülvita,Winter turnip rape,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
talirüps liblikõieliste allakülviga,Winter oilseed rape,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
"talitritikale allakülviga, v.a liblikõieliste allakülviga",Winter triticale with the exception of leguminous crops,winter_triticale,3301010801,other_arable_land_crops,3301990000
talitritikale allakülvita,Winter triticale,winter_triticale,3301010801,winter_triticale,3301010801
talitritikale liblikõieliste allakülviga,Winter triticale undersown with legumes,winter_triticale,3301010801,winter_triticale,3301010801
"tatar allakülviga, v.a liblikõieliste allakülviga",Buckwheat undersown (excl. legumes),buckwheat,3301150200,buckwheat,3301150200
tatar allakülvita,buckwheat,buckwheat,3301150200,buckwheat,3301150200
tatar liblikõieliste allakülviga,Buckwheat undersown with legumes,buckwheat,3301150200,buckwheat,3301150200
teekummel,chamomile,chamomile,3301061213,chamomile,3301061213
"teeleht, suur",tea leaf large,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
"teraviljade segu allakülviga, v.a liblikõieliste allakülviga",Cereal mixture undersown (excl. legumes),cereal,3301010000,winter_common_soft_wheat,3301010101
teraviljade segu allakülvita,mixed grains,cereal,3301010000,grain_maize_corn_popcorn,3301010600
teraviljade segu liblikõieliste allakülviga,Mixed grains undersown with legumes,cereal,3301010000,unspecified_cereals,3301011500
tomat,Tomato,tomato,3301280000,tomato,3301280000
"tondipea, moldaavia",Moldavian dragonhead,moldavian_dragonhead,3301061223,moldavian_dragonhead,3301061223
tšillipipar,Chilli pepper,chili_pepper,3301300200,anethum_dill,3301061203
tuder,Camelina,camelina,3301061500,other_permanent_crops_plantations,3303990000
üheaastane raihein jm üheaastased heintaimed,Annual ryegrass and other annual grasses,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205
"vaak, aed-",Elecampane,other_flowers_ornamental_plants,3301089900,kitchen_gardens,3301120000
vaarikas,raspberry,raspberry_raspberries,3303021000,raspberry_raspberries,3303021000
valge mesikas (100% mesikat),White melilot (100%),melilot,3301090304,melilot,3301090304
"valge mesikas (mesikat 50-80%, teisi heintaimi 20-50%)",white melilot (honeysuckle 50-80% other grasses 20-50%),melilot,3301090304,melilot,3301090304
"valge mesikas (vähemalt 80% mesikat, kuni 20% heintaimi)",white melilot (at least 80% melilot up to 20% grasses),melilot,3301090304,melilot,3301090304
valge peakapsas,white head cabbage,white_cabbage,3301210212,white_cabbage,3301210212
"valge ristik ""Jõgeva 4"" (100% ristikut)",white clover (100% clover),clover,3301090303,clover,3301090303
"valge ristik ""Jõgeva 4"" segus aasnurmikaga (mõlemat 50%)","White clover ""Jgeva 4"" mixed with Kentucky bluegrass (both 50%)",clover,3301090303,clover,3301090303
"valge ristik ""Jõgeva 4"" segus muude põllumaj. kultuuridega (ristik üle 50%, muid kultuure alla 50%)","white clover ""Jõgeva 4"" ""in a mixture with other agricultural crops (clover less than 50% other crops)""",clover,3301090303,clover,3301090303
valge ristik (100% ristikut),white clover (100% clover),clover,3301090303,clover,3301090303
"valge ristik (ristikut 50-80%, teisi heintaimi 20-50%)",White clover (50-80% clover 20-50% other grasses),clover,3301090303,clover,3301090303
"valge ristik (vähemalt 80% ristikut, kuni 20% heintaimi)",white clover (at least 80% clover up to 20% grasses),clover,3301090303,clover,3301090303
"valge sinep allakülviga, v.a liblikõieliste allakülviga",white mustard with the exception of leguminous crops,mustard,3301210100,mustard,3301210100
valge sinep allakülvita,white mustard without sowing,mustard,3301210100,mustard,3301210100
valge sinep liblikõieliste allakülviga,White mustard with sown legumes,mustard,3301210100,mustard,3301210100
valge sõstar,White currant,currants,3303020600,currants,3303020600
valkjas mesiohakas (100% mesiohakat),Glandular globe thistle,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,tree_wood_forest,3306000000
varajane kartul,early potatoes,potatoes,3301030000,potatoes,3301030000
varsseller,celery,celery,3301250000,celery,3301250000
viinapuu,grapes,vineyards_wine_vine_rebland_grapes,3303060000,vineyards_wine_vine_rebland_grapes,3303060000
viljapuu- ja marjaaiad väikestel pindadel,Fruits and berries in small area,orchards_fruits,3303010000,orchards_fruits,3303010000
"võilill, harilik",Dandelion common,dandelions,3301081400,dandelions,3301081400
"vürtsköömen, harilik",Common cumin,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,black_cumin,3301061208
