original_name,HCAT3_name,HCAT3_code
Loganberries,berries_berry_species,3303020000
Low Input Grassland,pasture_meadow_grassland_grass,3302000000
Low Input Peat Grassland,pasture_meadow_grassland_grass,3302000000
Low Input Permanent Pasture,pasture_meadow_grassland_grass,3302000000
Lucerne,alfalfa_lucerne,3301090301
Lupins,sweet_lupins,3301020700
Maize,grain_maize_corn_popcorn,3301010600
Management of Environmental Fallow (horticulture),fallow_land_not_crop,3301110000
Management of intensive grassland next to a watercourse,pasture_meadow_grassland_grass,3302000000
Millet,millet_sorghum,3301010900
Mint,mints_peppermint,3301061222
Miscanthus Sinensis,miscanthus_silvergrass,3301083000
Mixed Cropping,arable_crops,3301000000
Mustard,mustard,3301210100
Nursery,nurseries_nursery,3303070000
Oats - Spring,spring_oats,3301010502
Oats - Winter,winter_oats,3301010501
Oilseed Rape - Spring,spring_rapeseed_rape,3301060402
Oilseed Rape - Winter,winter_rapeseed_rape,3301060401
Onions,onions,3301220400
Orchard,orchards_fruits,3303010000
Other cut flower / bulb crops,unspecified_flowers_ornamental_plants,3301089800
Pak Choi,bok_choy_pak_choi,3301210201
Parsley,parsly,3301061227
Parsnips,parsnips,3301290500
Pears,pears,3303011200
Peas,peas,3301020600
Peppers,capsicum,3301300000
Permanent Pasture,pasture_meadow_grassland_grass,3302000000
Permanent Pasture (MSS Eco-Scheme 2023),pasture_meadow_grassland_grass,3302000000
Permanent Pasture (MSS Measure),pasture_meadow_grassland_grass,3302000000
Permanent Pasture (MSS),pasture_meadow_grassland_grass,3302000000
Perpetual Spinach,spinach,3301310800
Planted Buffer Zone,not_known_and_other,3399000000
Plums,plums,3303011300
Potatoes - Early,potatoes,3301030000
Potatoes - Maincrop,potatoes,3301030000
Potatoes - Seed,potatoes,3301030000
Protein/Cereal Mix 50/50,legumes_dried_pulses_protein_crops,3301020000
Pumpkins,pumpkin_squash_gourd,3301140400
Quarry,not_known_and_other,3399000000
Quinoa,quinoa,3301150300
Raspberries,raspberry_raspberries,3303021000
Recreational Area,not_known_and_other,3399000000
Red Clover,clover,3301090303
Redcurrants,redcurrant,3303021100
Reed Canary Grass,poaceae_grasses,3301090200
Rhubarb,rhubarb,3301230000
Riparian Buffer Zone - Arable,not_known_and_other,3399000000
Riparian Buffer Zone - Grassland,pasture_meadow_grassland_grass,3302000000
Riparian Zone,not_known_and_other,3399000000
Rocket,rocket_arugula,3301310600
Rocky Outcrop,not_known_and_other,3399000000
Rosemary,rosemary,3301061230
Rye,rye,3301010300
Scallions,scallion,3301220500
Scrub,shrubberries_shrubs,3303080000
Shallot,shallot,3301220600
Short Rotation Coppice,tree_wood_forest,3306000000
Soya Bean,soy_soybeans,3301160000
Squash,pumpkin_squash_gourd,3301140400
Strawberries,strawberries,3301130000
Sugar Beet,sugar_beet,3301290700
Sunflower,sunflower,3301060500
Swede,swede_rutabaga,3301210500
Sweetcorn,grain_maize_corn_popcorn,3301010600
Thyme,thyme,3301061237
Tomatoes,tomato,3301280000
Traditional Hay Meadow,pasture_meadow_grassland_grass,3302000000
Tree belts for ammonia capture from farmyards,tree_wood_forest,3306000000
Triticale - Spring,spring_triticale,3301010802
Triticale - Winter,winter_triticale,3301010801
Tulips,tulips,3301084900
Turnips,turnips,3301290800
Unknown,not_known_and_other,3399000000
Vetch,vetches,3301090305
Wheat - Spring,spring_common_soft_wheat,3301010102
Wheat - Winter,winter_common_soft_wheat,3301010101
Wild Bird Cover,not_known_and_other,3399000000
Willow,willows_osiers,3306080000
Winter Bird Food Plot,not_known_and_other,3399000000
Woodland,tree_wood_forest,3306000000
