HCAT3_name,HCAT3_code
brussels_sprouts,3301210203
cauliflower,3301210204
chinese_cabbage,3301210205
collard_greens,3301210206
gai_lan,3301210207
kale,3301210208
kohlrabi,3301210209
red_cabbage,3301210210
savoy_cabbage,3301210211
white_cabbage,3301210212
other_brassica_oleracea_cabbage,3301210299
cress,3301210300
horseradish,3301210400
swede_rutabaga,3301210500
alliums,3301220000
chives,3301220100
garlic,3301220200
leek,3301220300
onions,3301220400
scallion,3301220500
shallot,3301220600
rhubarb,3301230000
purslane,3301240000
celery,3301250000
celeriac,3301250100
leaf_celery,3301250200
aubergine_eggplant,3301260000
artichoke,3301270000
tomato,3301280000
root_vegetables,3301290000
arctium_burdock,3301290100
beetroot_beets,3301290200
carrots_daucus,3301290300
mangelwurzel_fodder_beet,3301290400
parsnips,3301290500
radish,3301290600
sugar_beet,3301290700
turnips,3301290800
unspecified_root_vegetables,3301299800
capsicum,3301300000
bell_pepper_paprika,3301300100
chili_pepper,3301300200
salads_lettuce_leaf_vegetables,3301310000
chard,3301310100
chicory_chicories,3301310200
endive,3301310300
iceberg,3301310400
lambs_lettuce_rapunzel,3301310500
rocket_arugula,3301310600
sorrel,3301310700
spinach,3301310800
other_salads_lettuce_leaf_vegetables,3301319900
other_arable_land_crops,3301990000
pasture_meadow_grassland_grass,3302000000
permanent_crops_perennial,3303000000
orchards_fruits,3303010000
amelanchier_serviceberry,3303010100
apples,3303010200
apricots,3303010300
cherry_cherries,3303010400
feijoa,3303010500
fig,3303010600
kiwi,3303010700
medlar_loquat,3303010800
nectarine,3303010900
pawpaw,3303011000
peach,3303011100
pears,3303011200
plums,3303011300
pomegranate,3303011400
quinces,3303011500
unspecified_orchards_fruits,3303019800
berries_berry_species,3303020000
aronia_chokeberries,3303020100
blackberry,3303020200
blackcurrant_cassis,3303020300
blueberry,3303020400
cranberry,3303020500
currants,3303020600
gooseberry_gooseberries_cranberries,3303020700
hippophae_sea_buckthorns_seaberry,3303020800
jostaberry,3303020900
raspberry_raspberries,3303021000
redcurrant,3303021100
rose_hip_rosehip,3303021200
rowan_rowanberries,3303021300
tayberry,3303021400
unspecified_berries_berry_species,3303029800
nuts,3303030000
almond,3303030100
hazelnuts_hazel,3303030200
pecan,3303030300
pistachio,3303030400
sweet_chestnuts,3303030500
walnuts,3303030600
citrus_plantations,3303040000
olive_plantations,3303050000
olives_for_oil_production,3303050100
table_olives,3303050200
vineyards_wine_vine_rebland_grapes,3303060000
nurseries_nursery,3303070000
shrubberries_shrubs,3303080000
azaleas,3303080100
chaenomeles_cathayensis,3303080200
crataegus_hawthorn,3303080300
elder_elderberry,3303080400
honeysuckle,3303080500
ricinus_castor,3303080600
wire_bush,3303080700
ginko,3303090000
avocado,3303100000
legumes_from_trees,3303110000
carob,3303110100
mesquite,3303110200
tamarind,3303110300
unspecified_permanent_crops,3303120000
other_permanent_crops_plantations,3303990000
mushrooms_energy_genetically_modified_crops,3304000000
energy_crops,3304010000
genetically_modified_crops,3304020000
igniscum_candy,3304020100
sida_virginia_mallow,3304030000
truffle,3304040000
other_mushrooms_energy_crops_genetically_modified_crops,3304990000
greenhouse_foil_film,3305000000
tree_wood_forest,3306000000
afforestation_reforestation,3306010000
aspen,3306020000
birch,3306030000
dogwood_cornus,3306040000
eucalyptus,3306050000
oak,3306060000
populus,3306070000
willows_osiers,3306080000
unspecified_tree_wood_forest,3306980000
other_tree_wood_forest,3306990000
peat_turf,3307000000
unmaintained,3308000000
not_known_and_other,3399000000
